1000 12
104 12 0
106 20 11
1119 12 0
679 39 11
139 40 3
871 29 12
924 25 12
860 35 6
1212 28 9
552 31 9
64 32 7
49 18 2
1276 31 5
393 16 0
372 24 4
604 14 9
511 30 10
147 5 8
873 13 8
177 16 7
1222 14 12
1156 15 3
1187 2 6
1192 10 1
310 40 9
185 2 11
916 25 9
1282 32 5
100 28 6
277 3 0
280 1 5
1281 26 3
240 36 2
578 13 3
1141 38 9
1270 8 11
557 28 1
10 14 2
933 31 12
755 5 0
558 14 6
468 40 7
290 20 9
689 37 9
1230 35 12
531 23 8
898 7 11
175 5 10
194 28 6
443 11 12
881 13 1
426 25 4
146 31 10
1262 5 5
320 19 9
314 9 3
215 25 0
375 33 3
970 1 8
75 27 0
939 2 1
610 9 7
774 19 4
410 39 5
603 12 2
1056 13 12
870 15 5
74 16 10
363 12 1
569 16 7
1191 18 9
714 33 7
1066 18 8
491 29 8
272 17 11
508 16 2
1147 18 6
745 40 12
1210 12 1
1195 34 11
1233 16 4
242 5 0
826 37 0
88 1 8
487 11 12
321 17 11
1242 40 5
1111 2 4
805 22 7
334 3 0
263 16 9
107 11 6
546 4 9
659 27 0
954 7 0
996 39 3
97 3 4
1049 3 1
581 40 6
37 17 3
497 2 5
63 18 6
343 2 8
311 4 2
128 11 1
1163 36 2
731 8 8
108 9 10
1298 14 5
1001 1 9
738 9 6
210 11 8
646 22 9
543 34 11
1179 17 5
788 15 1
991 40 5
505 19 7
918 38 0
1269 30 1
1143 8 7
671 18 4
1132 17 3
864 5 3
862 34 11
1184 24 8
707 1 7
435 20 10
229 5 4
625 25 0
268 25 4
1285 33 3
588 3 1
429 7 4
463 31 12
608 5 6
20 11 6
1196 11 8
495 4 5
534 10 1
626 7 2
845 31 3
635 19 4
545 28 12
299 22 8
664 36 5
1107 32 11
539 26 4
878 2 5
1209 26 12
192 22 8
61 25 9
189 32 1
70 3 6
1286 21 1
800 33 11
560 23 6
132 31 3
930 5 10
193 20 8
968 19 11
893 6 1
1144 27 5
807 15 5
580 37 0
650 5 5
1149 17 1
1173 13 1
829 37 6
28 40 3
405 15 6
742 16 3
540 20 4
484 33 3
496 29 6
368 3 4
131 22 2
135 25 2
1021 40 12
1138 28 2
1279 1 7
981 8 4
982 7 6
198 4 12
456 6 0
676 27 7
606 28 0
87 33 6
743 37 2
1034 32 5
113 4 10
142 3 11
1125 10 2
1042 24 2
946 37 2
877 9 11
427 32 12
1213 12 11
1245 31 3
739 23 10
1035 29 12
25 30 0
926 8 9
564 28 7
835 31 2
85 39 5
267 27 9
95 30 3
863 37 3
408 32 10
68 28 3
575 15 4
929 18 8
701 26 11
553 4 11
1256 2 9
561 7 9
685 13 3
186 40 0
1199 21 2
1072 2 4
660 40 4
667 1 10
989 35 0
446 15 10
1065 7 8
1251 11 12
342 6 11
354 35 2
1039 16 3
16 14 6
1057 15 10
341 11 2
1225 39 12
309 23 9
233 12 5
1085 38 2
15 23 2
872 23 4
167 39 9
848 32 12
442 18 6
515 40 10
891 6 7
209 27 2
366 17 5
45 18 6
258 10 7
1067 5 1
856 35 5
521 25 5
1264 29 4
806 33 3
60 31 2
126 30 3
474 4 6
1099 2 10
225 7 0
1013 15 7
94 39 3
618 38 3
444 25 5
212 39 0
681 34 11
1017 31 11
26 10 9
962 33 9
134 8 10
251 35 0
462 13 9
571 40 7
1198 33 0
1174 20 12
837 3 10
786 38 4
223 34 2
337 18 11
592 19 3
1081 13 2
499 12 0
617 24 10
205 5 11
14 26 12
1114 17 6
716 38 9
1024 33 3
937 16 0
259 35 9
526 17 2
1194 6 11
183 7 2
599 10 0
103 18 11
779 37 12
440 6 8
250 24 2
1015 37 10
414 3 7
630 17 9
307 4 3
378 24 0
174 7 3
1160 27 1
178 14 6
582 14 8
772 5 0
232 31 7
1165 35 1
92 40 11
904 11 10
730 40 12
431 20 7
820 36 0
288 39 9
609 32 12
386 7 1
718 25 8
840 40 3
1170 6 12
1112 21 11
257 4 10
234 37 0
595 6 11
874 28 7
362 25 12
787 7 2
305 21 4
323 23 12
1032 28 12
239 32 12
1078 7 12
195 6 2
801 34 1
1294 35 3
438 38 1
1064 35 10
224 27 4
40 35 2
313 38 6
231 29 3
1121 38 9
270 14 2
1027 16 8
662 16 6
306 36 1
294 12 10
58 39 1
91 4 2
480 12 5
652 30 9
17 24 6
812 17 7
572 3 12
548 18 5
1293 40 4
170 3 7
513 12 11
900 31 3
822 4 2
888 21 10
1061 34 7
222 38 4
875 19 12
1098 3 5
65 2 10
568 1 1
725 28 4
357 13 11
29 24 2
1071 25 10
1224 32 5
1070 17 1
273 14 1
428 2 11
1128 12 12
781 26 1
400 8 5
777 21 10
266 14 3
433 39 1
1012 13 3
619 4 7
798 10 11
150 30 11
1189 7 0
1093 19 11
199 17 10
247 6 6
407 4 11
1092 34 3
161 37 8
157 20 11
296 24 2
816 38 1
748 31 0
746 7 3
237 2 5
1154 29 0
304 2 3
1126 40 1
13 28 7
510 13 3
839 7 6
404 12 2
832 22 7
920 21 2
1084 13 5
952 38 4
335 23 8
1062 40 1
611 6 11
680 37 8
47 34 7
423 17 2
35 27 5
4 3 9
57 26 2
453 27 12
953 15 2
478 25 0
960 32 3
1089 35 6
445 22 10
1117 34 11
1004 1 8
941 24 12
811 15 6
728 11 9
124 24 2
22 38 0
465 35 6
1094 25 0
648 16 5
1289 5 9
1249 19 11
504 12 3
1290 18 7
855 12 0
9 29 2
1011 18 10
374 11 1
1273 38 9
1267 32 8
576 29 10
154 4 4
1002 29 2
1223 37 0
411 5 11
692 14 1
585 7 4
678 27 9
966 25 4
1211 13 9
979 5 0
517 17 10
607 32 7
1205 12 0
770 23 5
1026 22 5
1148 30 2
796 7 5
162 12 4
1086 17 10
1296 9 4
509 6 5
1234 7 6
961 1 9
950 13 11
130 21 7
911 13 4
466 21 11
697 12 4
129 19 7
1020 39 11
1248 22 10
717 21 11
765 19 0
1146 12 6
897 27 11
760 38 1
555 7 8
710 39 8
612 22 3
830 24 1
481 19 9
1216 4 1
696 21 5
467 29 0
31 31 1
629 5 4
1051 23 4
485 20 8
382 18 1
1271 29 5
291 39 2
1041 24 7
328 34 12
644 7 7
181 29 6
963 8 2
959 9 0
1090 7 5
907 29 0
858 22 1
351 36 0
359 6 5
41 3 10
1254 37 1
1016 5 0
945 8 2
514 8 0
18 35 3
814 37 6
1259 6 5
458 16 10
1022 29 9
